   Date       Time      Lat     Lon     Dep  Tag   F1    F2    F3    F4     F5    F6    F7     F8    F9   F10   F11   F12
2012-10-02 18:49:25.22 40.514 -112.161 -2.00  ex  0.00  0.24  0.25  -83.6 -116.6 14.61 12.41 -0.37  0.01 -0.01  0.18  0.44
2012-10-05 21:37:54.01 40.495 -112.156 -2.00  ex -0.29  0.34  0.27  -77.6 -126.8 13.24 12.36 -0.20 -0.19  0.12  0.06  0.36
2012-10-07 16:59:31.79 40.531 -112.161 -2.00  ex -0.03  0.89  0.60  -91.1 -111.6 12.21 11.88 -0.10  0.04  0.16 -0.11  0.12
2012-10-07 21:27:49.76 40.519 -112.165 -2.00  ex -0.16  0.15  0.12  -85.5 -114.8 13.33 12.37 -0.51 -0.20 -0.26  0.36  0.55
2012-10-09 22:55:46.02 40.494 -112.186 -2.00  ex -0.22  0.35  0.11  -67.2 -103.5 14.08 12.97 -0.14 -0.06  0.09  0.35  0.42
2012-10-11 11:39:46.63 39.484 -111.730 11.65  eq  0.83  1.02  0.82 -110.6 -132.7 16.06 14.52 -0.53 -0.44 -0.45  0.01  0.19
2012-10-12 20:14:17.87 40.499 -112.176 -2.00  ex  0.13  0.36  0.93  -84.9 -128.1 13.59 11.89 -0.23 -0.03  0.07  0.22  0.52
2012-10-13 00:19:31.58 40.508 -112.167 -2.00  ex -0.11  0.17  0.02  -78.9  -92.0 14.99 13.56 -0.28  0.10  0.16 -0.05  0.46
2012-10-13 18:06:22.97 40.529 -112.170 -2.00  ex  0.00  0.29  0.14  -90.1  -87.4 14.20 13.59  0.01 -0.01  0.01  0.45  0.54
2012-10-14 19:14:36.88 40.521 -112.168 -2.00  ex -0.02  0.29  0.04  -75.4  -73.8 14.26 13.59 -0.17 -0.20  0.18  0.13  0.26
2012-10-16 11:54:52.38 37.074 -112.924 22.43  eq  0.44  0.79  0.75 -122.3 -144.1 16.35 15.81 -0.57 -0.54 -0.37 -0.07  0.09
2012-10-16 22:16:05.66 40.487 -112.174 -2.00  ex -0.15  0.10  0.19  -63.3 -122.6 13.74 12.42 -0.38 -0.42 -0.03  0.13  0.51
2012-10-17 18:47:38.36 40.516 -112.163 -2.00  ex  0.09  0.29  0.25  -87.0 -114.6 14.27 12.84 -0.03 -0.21  0.10  0.24  0.33
2012-10-17 23:23:23.66 40.505 -112.179 -2.00  ex  0.05  0.34  0.43  -94.3 -116.6 13.36 12.14 -0.21  0.02  0.08  0.17  0.30
2012-10-18 22:17:54.12 40.497 -112.159 -2.00  ex  0.12  0.33  0.57  -84.4  -84.3 13.31 12.16 -0.27 -0.04  0.15 -0.11  0.29
2012-10-20 04:04:38.17 40.933 -111.385 11.42  eq  0.17  0.60  0.64 -105.7 -126.2 15.70 14.29 -0.34 -0.34 -0.30  0.03  0.17
2012-10-20 13:08:25.37 39.153 -111.661 19.03  eq  0.30  0.56  0.53 -121.1 -120.6 16.21 14.94 -0.47 -0.33 -0.28  0.06  0.18
2012-10-20 18:28:38.22 40.521 -112.180 -2.00  ex -0.01  0.24  0.08  -79.5 -106.6 14.64 15.93 -0.13 -0.15  0.21 -0.29  0.05
2012-10-21 17:39:08.87 40.524 -112.163 -2.00  ex -0.02  0.38  0.28  -85.6 -100.5 13.57 12.44 -0.06 -0.04  0.11  0.33  0.53
2012-10-23 20:30:07.62 40.529 -112.170 -2.00  ex  0.07  0.22  0.17  -74.3 -104.5 14.30 12.94 -0.09 -0.11  0.12  0.04  0.32
2012-10-24 05:13:17.41 39.154 -111.664 18.71  eq  0.28  0.58  0.46 -111.8 -123.0 16.49 14.94 -0.44 -0.30 -0.23  0.10  0.31
2012-10-24 15:09:59.73 42.083 -112.501  5.19  eq  0.00  0.71  0.64 -114.1  -94.8 15.65 14.18 -0.49 -0.48 -0.47  0.15  0.18
2012-10-24 19:58:55.40 40.521 -112.158 -2.00  ex  0.05  0.21  0.47  -67.4 -100.5 13.63 12.74 -0.07  0.09  0.04  0.46  0.51
2012-10-24 23:20:36.65 40.621 -109.545 -2.00  ex -0.22  0.27 -0.04  -92.6 -103.5 12.72 13.25 -0.60 -0.40 -0.58  0.51  0.79
2012-10-27 22:58:54.12 40.494 -112.156 -2.00  ex -0.03  0.28  0.35  -82.8 -106.6 14.04 12.44 -0.11 -0.20 -0.09  0.23  0.37
2012-10-28 18:53:53.55 40.524 -112.170 -2.00  ex -0.09  0.25  0.04  -78.4 -114.4 13.61 12.79 -0.11 -0.16  0.19  0.18  0.38
2012-10-28 22:47:32.88 40.519 -112.160 -2.00  ex -0.20  0.05  0.06  -83.9 -115.5 12.84 12.35 -0.72 -0.29 -0.15  0.30  0.53
2012-10-31 17:03:21.39 40.520 -112.170 -2.00  ex -0.25  0.26 -0.04  -88.5 -108.0 14.31 13.12  0.27  0.41  0.42  0.21  0.43
2012-11-01 17:36:07.29 40.497 -112.165 -2.00  ex -0.25  0.06 -0.07  -88.1 -106.6 13.29 13.27 -0.23 -0.18  0.08  0.09  0.35
2012-11-04 06:04:20.01 39.446 -111.886 12.74  eq -0.07  0.18  0.07 -130.5 -152.4 16.99 15.65 -0.44 -0.16 -0.13 -0.11  0.21
2012-11-07 00:37:03.81 36.975 -113.514 -2.00  ex -0.25 -0.08 -0.20  -78.3  -91.3 13.54 13.50 -0.45  0.03  0.07  0.41  0.76
2012-11-07 21:01:54.00 40.521 -112.168 -2.00  ex -1.52 -0.89 -1.31  -81.0 -111.3 14.87 13.58  0.00 -0.19 -0.05  0.39  0.39
2012-11-21 01:18:53.04 39.155 -111.661 19.55  eq  0.40  0.64  0.67 -101.6 -120.5 15.33 14.29 -0.64 -0.36 -0.27  0.03  0.30
2012-11-27 22:49:44.20 40.637 -109.499 -2.00  ex -0.28 -0.26 -0.21  -88.8  -94.4 13.66 13.60 -0.46 -0.32 -0.32  0.67  0.89
2012-11-30 17:43:25.56 41.112 -111.667 11.39  eq  0.01  0.26  0.29 -111.2 -135.3 16.29 15.27 -0.47 -0.39 -0.37  0.03  0.23
2012-12-04 23:06:44.79 38.974 -112.919 -2.00  ex  0.07  0.36  0.29  -80.1  -87.6 13.45 12.87 -0.10 -0.26 -0.18  0.20  0.15
2012-12-04 23:58:33.49 40.514 -112.163 -2.00  ex  0.06  0.36  0.23  -69.9  -97.9 14.01 12.69  0.11  0.09  0.02  0.17  0.22
2012-12-13 00:24:56.01 42.168 -112.546  6.35  eq  0.17  0.67  0.58 -105.4 -118.6 14.99 14.71 -0.26 -0.11  0.04  0.17  0.43
2012-12-15 00:12:48.94 40.497 -112.161 -2.00  ex -0.19  0.43  0.22  -97.7 -121.7 13.32 12.77 -0.11  0.08  0.26  0.10  0.30
2012-12-16 04:39:26.72 36.953 -112.400 23.67  eq  0.04  0.32  0.22 -128.7 -136.2 16.53 15.48 -0.52 -0.37 -0.31  0.11  0.26
2012-12-20 23:40:46.41 40.492 -112.159 -2.00  ex -0.03  0.26  0.53  -80.7 -130.6 14.92 12.16  0.14  0.07  0.05  0.61  0.42
2013-01-01 21:32:19.29 41.122 -111.603  7.73  eq  0.13  0.45  0.46 -113.2 -131.4 16.11 15.24 -0.47 -0.34 -0.23  0.02  0.24
2013-01-18 08:16:33.11 38.228 -111.279  7.99  eq  0.04  0.70  0.61 -115.8 -149.5 15.58 14.99 -0.46 -0.33 -0.32  0.09  0.23
2013-01-18 08:25:35.38 38.225 -111.285  7.86  eq  0.03  0.84  0.74 -106.6 -127.6 16.32 14.76 -0.49 -0.33 -0.37  0.05  0.12
2013-01-18 08:43:22.83 38.225 -111.280  7.92  eq -0.26  0.53  0.49 -117.1 -130.8 15.83 15.71 -0.66 -0.41 -0.38 -0.04  0.14
2013-01-18 18:20:57.66 40.526 -112.167 -2.00  ex -0.06  0.24  0.31 -109.6 -123.0 13.23 12.51 -0.21  0.03 -0.00  0.29  0.35
2013-01-19 02:35:17.08 38.224 -111.281  8.20  eq -0.04  0.52  0.40 -119.7 -151.2 15.89 15.01 -0.38 -0.27 -0.19  0.02  0.20
2013-01-21 03:38:55.68 39.229 -110.466 12.36  eq -0.19  0.12  0.11 -107.5 -134.5 16.50 15.78 -0.39 -0.34 -0.17  0.10  0.25
2013-01-22 23:23:06.02 40.495 -112.164 -2.00  ex -0.14  0.22  0.16  -77.1 -108.1 13.23 13.11 -0.31 -0.20  0.17  0.35  0.77
2013-01-25 15:44:37.25 37.467 -112.277 17.03  eq -0.05  0.46  0.26 -137.5 -148.3 16.36 15.40 -0.47 -0.29 -0.30 -0.05  0.18
2013-01-27 23:29:52.56 40.493 -112.153 -2.00  ex -0.08  0.22  0.43  -79.3  -97.5 14.02 12.72 -0.16  0.12  0.29  0.14  0.47
2013-02-02 20:04:59.85 40.521 -112.167 -2.00  ex  0.07  0.52  0.29  -86.0 -115.4 15.22 12.51 -0.12  0.01  0.16  0.03  0.27
2013-02-13 23:07:50.47 40.671 -109.481 -2.00  ex -0.33 -0.39 -0.37  -95.6 -101.7 14.40 14.72 -0.41 -0.26 -0.21  1.03  1.22
