    Date      Time       Elat     Elon    Dep  Tag    F01    F02    F03    F04    F05    F06    F07    F08    F09    F10    F11    F12    F13
2012-10-01 16:51:31.20  39.141  -111.655  19.5  eq   0.22      X   0.73      X -105.1      X  14.36      X      X      X      X      X      X
2012-10-01 17:02:17.22  40.500  -112.155  -2.0  ex   0.10      X      X      X      X      X      X      X      X      X      X      X      X
2012-10-01 22:38:43.13  40.511  -112.175  -2.0  ex  -0.05   0.27   0.20  -51.4  -84.5  13.40  12.71      X      X   0.37      X      X   0.33
2012-10-02 00:21:13.94  39.709  -113.274  -2.0  ex      X   0.14   1.10  -69.4 -110.1  13.02  11.08      X      X      X      X      X      X
2012-10-02 18:49:25.22  40.514  -112.161  -2.0  ex   0.00   0.27   0.37 -101.8 -114.7  14.35  12.31   0.14   0.19   0.26   0.40  -0.09   0.21
2012-10-02 20:42:39.93  38.984  -112.936  -2.0  ex   0.22   0.59   0.13 -109.6  -66.0  13.00  13.81      X      X      X      X      X      X
2012-10-02 21:46:37.54  40.523  -112.178  -2.0  ex  -0.18   0.09      X  -58.8      X  13.05      X      X      X      X      X      X      X
2012-10-03 12:49:37.09  39.624  -110.388  -0.6 mis      X      X      X      X      X      X      X      X      X      X      X      X      X
2012-10-03 19:02:54.83  41.129  -112.913  -1.5  ex   0.19      X      X      X      X      X      X      X      X      X      X      X      X
2012-10-03 20:02:39.30  40.521  -112.166  -2.0  ex  -0.14   0.00   0.31  -78.6  -99.8  14.49  12.63   0.44   0.32   0.24   0.28  -0.29  -0.36
2012-10-03 23:23:15.72  40.515  -112.170  -2.0  ex   0.07  -0.05   0.51  -81.4 -118.7  13.54  12.03      X   0.13   0.31   0.23      X   0.13
2012-10-04 16:57:26.53  40.925  -111.575  10.6  eq      X      X   0.89      X  -86.5      X  13.89      X      X      X      X      X      X
2012-10-04 17:24:48.82  40.527  -112.148  -2.0  ex   0.20   0.26   0.69  -75.1 -118.5  14.12  12.29      X      X  -0.02      X      X      X
