,Date,Time,Elat,Elon,Dep,Tag,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,y
5789,2020-04-21,01:26:21.92,40.748,-111.969,6.3,eq,,,,,,,,,,,,,,1
9139,2022-09-10,01:50:17.85,39.426,-110.301,-1.9,mis,,,-0.04,,-141.5,,12.17,,,,,,0.25,2
8625,2022-06-28,06:00:23.98,39.43,-110.301,-1.7,mis,-0.34,,0.32,,-145.1,,12.54,,,,,,,2
6106,2020-05-28,08:24:24.05,38.758,-111.494,6.4,eq,-0.37,,0.34,,-100.8,,14.15,,,,,,0.05,1
978,2014-06-17,16:43:49.18,39.542,-111.718,12.2,eq,,,0.96,,-96.6,,15.23,,,,,,,1
1020,2014-07-07,19:48:42.33,41.162,-112.936,-1.5,ex,-0.07,0.25,0.05,-92.8,-118.4,16.07,14.29,-0.16,-0.01,,,,,0
8792,2022-07-21,19:25:44.10,39.431,-110.311,-1.0,mis,-0.41,0.26,0.32,-117.7,-126.4,13.3,12.61,,,,,,,2
7575,2021-09-21,21:19:25.09,39.425,-110.306,-1.4,mis,,,,,,,,,,,,,,2
8250,2022-02-10,23:36:07.04,38.351,-113.113,9.9,eq,0.31,0.65,0.44,-103.1,-139.1,14.92,14.87,,-0.06,-0.03,-0.02,,-0.22,1
5107,2020-03-24,14:13:09.02,40.77,-112.074,9.4,eq,,,,,,,,,,,,,,1
310,2013-04-04,01:47:47.58,40.928,-111.257,12.5,eq,0.04,,1.0,,-119.1,,14.12,,,,,,0.04,1
5931,2020-05-05,13:29:08.57,40.74,-112.078,8.7,eq,0.01,0.7,0.57,-104.1,-128.1,15.6,15.18,0.06,0.04,-0.04,-0.1,-0.11,-0.18,1
1488,2015-07-03,17:49:41.48,41.059,-111.677,-2.0,ex,,,,,,,,,,,,,,0
1969,2016-07-18,16:39:10.09,41.893,-112.281,5.3,eq,,,,,,,,,,,,,,1
603,2013-10-18,21:03:17.04,40.521,-112.168,-2.0,ex,-0.14,-0.04,0.25,-84.4,-157.0,13.54,12.5,0.08,0.14,0.12,-0.05,0.19,0.09,0
9412,2023-03-31,18:58:10.45,41.78,-111.618,11.8,eq,-0.32,,0.37,,-102.9,,14.38,,-0.22,-0.17,-0.12,,-0.01,1
