      1        2         3       4       5     6     7    8    9    10    11   12  13   14    15    16    17   18    19    20
    Date      Time      Lat     Lon     Dep    ML    MC   N   Dmin  ehz   ehr  tag NSg  MwSg  fcSg  aicS  NPg  MwPg  fcPg  aicP
2012-10-01 16:51:31.20 39.141 -111.655 19.54  1.33  1.11  11   5.0  0.80  0.80  eq   4  1.84  6.81 -105.1   1  2.21 26.63 -145.6
2012-10-01 17:02:17.22 40.500 -112.155 -2.00  1.40  1.30   7   7.0  0.00  0.00  ex   2  2.09  0.84  -71.5   1  1.63  4.61 -108.1
2012-10-01 22:38:43.13 40.511 -112.175 -2.00  1.85  1.90  29   7.0  0.00  0.00  ex   8  2.10  1.42  -84.5   5  2.17  2.23  -51.4
2012-10-02 00:21:13.94 39.709 -113.274 -2.00 -9.99  1.81  11  10.0  0.00  0.00  ex   3  2.91  0.16 -110.1   3  1.95  2.14  -69.4
2012-10-02 18:49:25.22 40.514 -112.161 -2.00  1.78  1.78  18   8.0  0.00  0.00  ex   7  2.15  0.99 -114.7   6  2.05  5.31 -101.8
2012-10-02 20:42:39.93 38.984 -112.936 -2.00  1.89  1.67  13  43.0  0.00  0.00  ex   3  1.80  4.68  -66.0   3  2.26  1.48 -109.6
2012-10-02 21:46:37.54 40.523 -112.178 -2.00  1.73  1.91  12  11.0  0.00  0.00  ex   2  2.25  1.02 -124.7   4  2.00  2.07  -58.8
2012-10-03 12:49:37.09 39.624 -110.388 -0.59 -9.99  1.05   7   2.0  0.20  0.60 mis   1  1.35  4.60 -155.2   0  0.00  0.00    0.0
2012-10-03 19:02:54.83 41.129 -112.913 -1.50  1.34  1.15   7  25.0  0.00  0.00  ex   2  1.68  5.57 -101.2   0  0.00  0.00    0.0
2012-10-03 20:02:39.30 40.521 -112.166 -2.00  1.71  1.85  14   8.0  0.00  0.00  ex   6  2.16  1.25  -99.8   7  1.85  7.44  -78.6
2012-10-03 23:23:15.72 40.515 -112.170 -2.00  1.89  1.82  13  10.0  0.00  0.00  ex   4  2.33  0.65 -118.7   4  1.77  3.95  -81.4
2012-10-04 16:57:26.53 40.925 -111.575 10.58 -9.99  1.21  21  12.0  0.70  0.30  eq   6  2.10  3.52  -86.5   1  2.14  4.64 -131.2
2012-10-04 17:24:48.82 40.527 -112.148 -2.00  1.66  1.46  12   9.0  0.00  0.00  ex   4  2.15  0.97 -118.5   5  1.72  6.51  -75.1
2012-10-04 22:36:20.47 40.495 -112.162 -2.00  1.41  1.56   8   7.0  0.00  0.00  ex   5  1.96  1.17 -118.0   4  2.25  1.05  -81.7
2012-10-04 23:20:41.12 39.690 -113.255 -2.00 -9.99  1.70   5  12.0  0.00  0.00  ex   4  1.97  1.29  -86.2   2  2.17  1.86  -78.3
2012-10-05 21:37:54.01 40.495 -112.156 -2.00  1.81  2.10  14   7.0  0.00  0.00  ex   5  2.52  0.57 -138.4   9  2.50  0.95  -84.3
2012-10-06 16:16:05.43 40.500 -112.175 -2.00  1.67  1.65  15   7.0  0.00  0.00  ex   7  2.06  0.87 -106.0   4  1.76  5.55  -66.4
2012-10-06 18:19:45.28 41.069 -111.662 -2.00 -9.99  0.86   7   3.0  0.00  0.00  ex   1  1.57  9.51  -31.8   0  0.00  0.00    0.0
2012-10-06 21:30:25.11 40.492 -112.163 -2.00  1.41  1.35  11   7.0  0.00  0.00  ex   3  1.86  1.79  -82.2   3  1.76  6.10  -70.4
2012-10-07 16:59:31.79 40.531 -112.161 -2.00  2.02  2.05  25   8.0  0.00  0.00  ex   8  2.63  0.45 -111.7   5  2.83  0.45  -89.3
2012-10-07 21:27:49.76 40.519 -112.165 -2.00  1.68  1.84  14   8.0  0.00  0.00  ex   9  2.08  0.96 -106.5   5  2.03  2.96  -93.7
