Unnamed: 0,Date,Time,Elat,Elon,Dep,Tag,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,y,prediction
1889,2016-05-05,22:23:14.54,40.623,-109.507,-2.0,ex,-0.12,-0.37,-0.47,-96.5,-109.4,15.24,14.64,0.13,0.14,0.14,0.1,0.14,0.16,0,1
8588,2022-06-16,01:18:58.58,39.435,-110.314,-1.5,mis,-0.4,-0.03,-0.07,-94.2,-119.8,13.61,13.33,0.08,0.15,0.24,0.28,0.2,0.52,2,0
9005,2022-08-23,05:28:26.37,39.429,-110.298,-1.6,mis,-0.38,0.02,0.09,-91.6,-125.8,13.53,12.97,0.07,0.14,0.2,0.24,0.18,0.4,2,0
836,2014-03-23,06:03:51.77,40.562,-111.263,13.3,eq,-0.17,0.89,0.57,-128.1,-107.4,13.82,13.75,,0.08,0.08,0.09,,0.07,1,0
1399,2015-04-20,22:28:25.77,40.566,-109.483,-2.0,ex,-0.02,-0.16,-0.21,-97.7,-123.1,13.82,13.98,0.02,0.05,-0.09,,0.3,0.33,0,1
1398,2015-04-20,22:28:25.73,40.55,-109.5,-2.0,ex,-0.3,-0.61,-0.39,-87.2,-113.0,14.69,13.74,0.01,0.04,-0.1,,0.32,0.3,0,2
2843,2018-05-02,20:52:25.73,40.505,-112.148,-2.0,ex,-0.08,0.09,0.3,-82.6,-132.4,13.66,12.44,0.14,0.2,0.1,-0.02,0.39,0.63,0,2
127,2012-11-27,22:49:44.20,40.637,-109.499,-2.0,ex,-0.28,-0.21,-0.33,-82.2,-101.9,15.1,13.79,-0.09,-0.04,-0.07,0.02,0.5,0.48,0,2
83,2012-10-26,22:34:02.60,40.525,-112.147,-2.0,ex,0.02,0.36,0.76,-86.9,-143.4,13.2,11.79,0.24,0.23,0.13,0.3,0.13,0.35,0,2
229,2013-02-13,23:07:50.47,40.671,-109.481,-2.0,ex,-0.33,-0.37,-0.41,-98.4,-101.5,14.24,14.66,-0.12,-0.11,-0.11,-0.07,0.65,0.55,0,2
1651,2015-10-13,01:02:14.31,40.607,-109.531,-2.0,ex,-0.4,-0.35,-0.52,-107.0,-103.0,14.17,14.53,0.02,-0.01,-0.04,0.04,0.16,0.23,0,1
