Unnamed: 0,Date,Time,Elat,Elon,Dep,Tag,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,y,prediction
2518,2017-08-03,19:59:30.27,40.507,-112.165,-2.0,ex,-0.13,0.49,0.24,-116.0,-138.6,12.82,12.77,0.19,0.11,0.14,0.23,0.48,0.63,0,2
1584,2015-08-26,17:47:44.53,39.557,-112.2,-2.0,ex,-0.12,-0.1,0.05,-85.9,-95.7,15.25,12.9,0.09,-0.02,0.23,0.19,-0.01,0.16,0,1
3699,2019-12-17,07:13:46.30,39.413,-110.306,-1.8,mis,-0.23,0.04,0.05,-77.4,-112.7,13.31,12.86,-0.15,-0.17,-0.3,-0.2,,0.35,2,0
8922,2022-08-10,03:33:08.52,39.427,-110.305,-1.4,mis,-0.29,0.38,0.33,-102.4,-152.2,14.23,12.98,0.02,0.19,0.1,0.05,0.19,0.33,2,0
1128,2014-09-12,19:45:14.79,40.03,-111.739,2.7,eq,-0.13,0.56,0.51,-51.3,-118.3,14.63,14.62,,0.08,0.01,-0.01,,0.14,1,0
822,2014-03-16,21:46:12.02,40.517,-112.162,-2.0,ex,-0.09,1.2,0.07,-87.8,-102.1,12.7,13.19,,0.55,,,,0.33,0,2
2062,2016-09-11,20:52:48.00,40.509,-112.169,-2.0,ex,-0.23,0.15,0.02,-100.0,-127.0,13.67,12.74,0.15,0.19,0.31,0.24,0.38,0.53,0,2
8929,2022-08-10,20:31:24.12,39.43,-110.299,-2.2,mis,-0.25,-0.17,-0.05,-82.0,-119.4,13.79,13.1,0.07,0.1,0.06,0.19,0.32,0.47,2,0
3833,2020-03-18,14:01:04.19,40.726,-112.096,10.0,eq,-0.73,0.63,-0.12,-75.6,-111.4,14.46,15.35,0.11,-0.12,-0.12,-0.24,,-0.1,1,0
5882,2020-04-29,03:43:41.52,40.711,-112.072,10.0,eq,0.18,0.93,0.6,-95.6,-133.6,14.16,14.8,,0.01,0.01,0.07,,0.13,1,0
7530,2021-09-13,16:02:45.40,39.428,-110.305,-1.9,mis,-0.42,-0.34,-0.07,-86.6,-139.3,14.13,12.93,-0.03,0.14,-0.09,-0.31,,0.24,2,0
2738,2018-01-18,17:12:25.43,40.614,-109.514,-2.0,ex,-0.31,-0.22,-0.38,-108.1,-120.6,14.93,14.15,0.08,0.08,0.17,0.1,0.16,0.07,0,1
1359,2015-03-23,18:07:34.04,40.521,-112.154,-2.0,ex,-0.26,0.41,0.12,-83.7,-136.6,12.89,12.64,0.1,0.04,0.17,0.34,0.41,0.53,0,2
8924,2022-08-10,05:30:15.30,39.426,-110.305,-1.4,mis,-0.51,-0.04,0.09,-59.2,-92.5,13.66,12.93,-0.1,0.11,0.05,,,0.32,2,0
